Order ID,Customer Name,Ship Mode,Order Date,Ship Date,Measure Names,Measure Values
BN-2014-9998478,Ella Dwyer-Gray,Economy,11/21/2014,11/25/2014,% of Total ProfitMargin along Table (Down),-6.578435472
BN-2014-9998478,Ella Dwyer-Gray,Economy,11/21/2014,11/25/2014,Profit,-1601
BN-2014-9998478,Ella Dwyer-Gray,Economy,11/21/2014,11/25/2014,% of Total Discount along Table (Down),0.003489792
BN-2014-9998478,Ella Dwyer-Gray,Economy,11/21/2014,11/25/2014,Quantity,26
BN-2014-9998478,Ella Dwyer-Gray,Economy,11/21/2014,11/25/2014,Sales,2021
BN-2014-9995192,Hayley Baldwinson,Priority,7/9/2014,7/10/2014,% of Total ProfitMargin along Table (Down),3.652323197
BN-2014-9995192,Hayley Baldwinson,Priority,7/9/2014,7/10/2014,Profit,1151
BN-2014-9995192,Hayley Baldwinson,Priority,7/9/2014,7/10/2014,% of Total Discount along Table (Down),0
BN-2014-9995192,Hayley Baldwinson,Priority,7/9/2014,7/10/2014,Quantity,4
BN-2014-9995192,Hayley Baldwinson,Priority,7/9/2014,7/10/2014,Sales,2617
BN-2014-9982544,Charlie Power,Economy,8/8/2014,8/15/2014,% of Total ProfitMargin along Table (Down),2.527895014
BN-2014-9982544,Charlie Power,Economy,8/8/2014,8/15/2014,Profit,207
BN-2014-9982544,Charlie Power,Economy,8/8/2014,8/15/2014,% of Total Discount along Table (Down),0.000232653
BN-2014-9982544,Charlie Power,Economy,8/8/2014,8/15/2014,Quantity,11
BN-2014-9982544,Charlie Power,Economy,8/8/2014,8/15/2014,Sales,680
BN-2014-9978138,David Harney,Economy Plus,9/24/2014,9/26/2014,% of Total ProfitMargin along Table (Down),-0.367713484
BN-2014-9978138,David Harney,Economy Plus,9/24/2014,9/26/2014,Profit,-60
BN-2014-9978138,David Harney,Economy Plus,9/24/2014,9/26/2014,% of Total Discount along Table (Down),0.000116326
BN-2014-9978138,David Harney,Economy Plus,9/24/2014,9/26/2014,Quantity,5
BN-2014-9978138,David Harney,Economy Plus,9/24/2014,9/26/2014,Sales,1355
BN-2014-9956190,Daniel Lucas,Economy Plus,3/29/2014,4/1/2014,% of Total ProfitMargin along Table (Down),-7.142469255
BN-2014-9956190,Daniel Lucas,Economy Plus,3/29/2014,4/1/2014,Profit,-166
BN-2014-9956190,Daniel Lucas,Economy Plus,3/29/2014,4/1/2014,% of Total Discount along Table (Down),0.000581632
BN-2014-9956190,Daniel Lucas,Economy Plus,3/29/2014,4/1/2014,Quantity,3
BN-2014-9956190,Daniel Lucas,Economy Plus,3/29/2014,4/1/2014,Sales,193
BN-2014-9936235,Gracie Hunter,Economy,1/22/2014,1/27/2014,% of Total ProfitMargin along Table (Down),1.011980897
BN-2014-9936235,Gracie Hunter,Economy,1/22/2014,1/27/2014,Profit,102
BN-2014-9936235,Gracie Hunter,Economy,1/22/2014,1/27/2014,% of Total Discount along Table (Down),0
BN-2014-9936235,Gracie Hunter,Economy,1/22/2014,1/27/2014,Quantity,36
BN-2014-9936235,Gracie Hunter,Economy,1/22/2014,1/27/2014,Sales,837
BN-2014-9900559,Rachel Tyler,Economy,8/12/2014,8/16/2014,% of Total ProfitMargin along Table (Down),2.491258855
BN-2014-9900559,Rachel Tyler,Economy,8/12/2014,8/16/2014,Profit,15
BN-2014-9900559,Rachel Tyler,Economy,8/12/2014,8/16/2014,% of Total Discount along Table (Down),0
BN-2014-9900559,Rachel Tyler,Economy,8/12/2014,8/16/2014,Quantity,4
BN-2014-9900559,Rachel Tyler,Economy,8/12/2014,8/16/2014,Sales,50
BN-2014-9861831,Leroy Samson,Economy Plus,7/30/2014,8/4/2014,% of Total ProfitMargin along Table (Down),-11.348256367
BN-2014-9861831,Leroy Samson,Economy Plus,7/30/2014,8/4/2014,Profit,-1864
BN-2014-9861831,Leroy Samson,Economy Plus,7/30/2014,8/4/2014,% of Total Discount along Table (Down),0.000814285
BN-2014-9861831,Leroy Samson,Economy Plus,7/30/2014,8/4/2014,Quantity,5
BN-2014-9861831,Leroy Samson,Economy Plus,7/30/2014,8/4/2014,Sales,1364
BN-2014-9778057,Jay Johnson,Economy,4/26/2014,5/2/2014,% of Total ProfitMargin along Table (Down),0.260568229
BN-2014-9778057,Jay Johnson,Economy,4/26/2014,5/2/2014,Profit,23
BN-2014-9778057,Jay Johnson,Economy,4/26/2014,5/2/2014,% of Total Discount along Table (Down),0.000116326
BN-2014-9778057,Jay Johnson,Economy,4/26/2014,5/2/2014,Quantity,8
BN-2014-9778057,Jay Johnson,Economy,4/26/2014,5/2/2014,Sales,733
BN-2014-9660071,Ali Jerger,Economy,3/17/2014,3/22/2014,% of Total ProfitMargin along Table (Down),2.563711573
